persona_item,category,confidence_score_init,source_interaction_type,source_object_id,source_timestamp,formatted_timestamp,source_hashtags,interaction_format,confidence_cross_referenced,relationship_type,related_personas,stereotype_mark,overpersonalization
"Values long-term committed romantic partnerships over casual dating",romantic relationships,0.78,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#RelationshipGoals""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
"Enjoys consuming social media content about relationship milestones and couple activities",social media habits,0.72,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#RelationshipGoals""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
"Aspires to build a loving and emotionally supportive partnership",romantic relationships,0.65,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#RelationshipGoals""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
"Identifies as a practicing Christian or holds Christian spiritual beliefs",Christian faith,0.82,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#ChristianLiving""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
"Interested in integrating faith principles into everyday decisions and habits",Christian faith,0.70,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#ChristianLiving""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
"Engages with content about Christian community life and fellowship",Christian community,0.58,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#ChristianLiving""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
"Actively processes and reflects on personal emotional experiences",emotional wellness,0.68,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#EmotionalJourney""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
"Values emotional vulnerability and openness in personal storytelling",emotional expression,0.62,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#EmotionalJourney""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
"May be navigating a significant life transition or healing process",personal transition,0.50,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#EmotionalJourney""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,yes
"Enjoys cooking as a meaningful or intentional activity rather than mere routine",purposeful cooking,0.75,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#CookingWithAPurpose""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
"Connects food preparation with family bonding or cultural traditions",food and culture,0.63,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#CookingWithAPurpose""]",Facebook: viewed more than 75% of the video,0.0,none,[],stereotypical,no
"Interested in recipes that serve a health-conscious or community-oriented purpose",nutrition and wellness,0.55,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#CookingWithAPurpose""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
"Drawn to content about spiritual connection and transcendence in relationships",spiritual intimacy,0.66,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#SoulSpark""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
"Believes in deep soulful connections as a foundation for romantic love",spiritual romance,0.60,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#SoulSpark"", ""#RelationshipGoals""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
"Interested in mind-body-spirit alignment and holistic well-being",holistic wellness,0.52,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#SoulSpark""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,yes
"Actively pursues self-improvement through intentional habit changes",self-improvement,0.73,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#PersonalGrowth""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
"Engages with motivational or self-help content on social media",self-help media,0.67,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#PersonalGrowth""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
"Values continuous learning and personal development as a life philosophy",lifelong learning,0.61,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#PersonalGrowth""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
"Views romantic love as deeply intertwined with spiritual faith",faith and romance,0.76,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#LoveAndFaith""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
"Seeks a partner who shares compatible religious or spiritual values",faith-based partnership,0.69,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#LoveAndFaith"", ""#RelationshipGoals""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,yes
"Believes that love requires both emotional and spiritual nurturing to thrive",relational spirituality,0.64,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#LoveAndFaith"", ""#ChristianLiving""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
"Uses cooking as a form of self-care and emotional grounding",cooking as self-care,0.56,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#CookingWithAPurpose"", ""#EmotionalJourney""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
"Resonates with narratives of personal transformation and overcoming adversity",personal transformation,0.71,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#PersonalGrowth"", ""#EmotionalJourney""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
"Interested in LGBTQ-affirming Christian or spiritual communities",LGBTQ-affirming faith,0.54,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#ChristianLiving"", ""#LoveAndFaith""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,yes
"Appreciates Mexican American culinary traditions and family recipes",Mexican American cuisine,0.51,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#CookingWithAPurpose""]",Facebook: viewed more than 75% of the video,0.0,none,[],stereotypical,yes
"Finds personal growth through spiritual practices such as prayer or meditation",spiritual self-improvement,0.58,implicit_positive,122137823030860919,1758690616,"05:10, 09/24/2025","[""#SoulSpark"", ""#PersonalGrowth""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
