persona_item,category,confidence_score_init,source_interaction_type,source_object_id,source_timestamp,formatted_timestamp,source_hashtags,interaction_format,confidence_cross_referenced,relationship_type,related_personas,stereotype_mark,overpersonalization
Enjoys visiting Sonic Drive-In restaurants,fast food dining,0.75,implicit_positive,1205270128311194,1758757066,"23:37, 09/24/2025","[""#SONICSmashers""]",Facebook: stayed on an image for more than 5 seconds,0.0,none,[],neutral,no
Likely participates in Sonic promotional games or contests,brand engagement,0.55,implicit_positive,1205270128311194,1758757066,"23:37, 09/24/2025","[""#SONICSmashers""]",Facebook: stayed on an image for more than 5 seconds,0.0,none,[],neutral,no
Interested in competitive or playful food-related social media content,social media food culture,0.6,implicit_positive,1205270128311194,1758757066,"23:37, 09/24/2025","[""#SONICSmashers""]",Facebook: stayed on an image for more than 5 seconds,0.0,none,[],neutral,no
Drawn to buy-one-get-one-free promotions when dining out,discount shopping,0.8,implicit_positive,1205270128311194,1758757066,"23:37, 09/24/2025","[""#BuyOneGetOneFree""]",Facebook: stayed on an image for more than 5 seconds,0.0,none,[],neutral,no
Likely shares meals or buys for a companion regularly,social dining,0.5,implicit_positive,1205270128311194,1758757066,"23:37, 09/24/2025","[""#BuyOneGetOneFree""]",Facebook: stayed on an image for more than 5 seconds,0.0,none,[],neutral,no
Values getting maximum value for money spent on food,budget-conscious eating,0.7,implicit_positive,1205270128311194,1758757066,"23:37, 09/24/2025","[""#BuyOneGetOneFree""]",Facebook: stayed on an image for more than 5 seconds,0.0,none,[],neutral,no
Responds to urgency and scarcity marketing tactics,consumer psychology,0.65,implicit_positive,1205270128311194,1758757066,"23:37, 09/24/2025","[""#LimitedTimeOffer""]",Facebook: stayed on an image for more than 5 seconds,0.0,none,[],neutral,no
Enjoys trying seasonal or temporary menu items at restaurants,seasonal food exploration,0.6,implicit_positive,1205270128311194,1758757066,"23:37, 09/24/2025","[""#LimitedTimeOffer""]",Facebook: stayed on an image for more than 5 seconds,0.0,none,[],neutral,no
Tends to act quickly on deals before they expire,impulse purchasing,0.55,implicit_positive,1205270128311194,1758757066,"23:37, 09/24/2025","[""#LimitedTimeOffer""]",Facebook: stayed on an image for more than 5 seconds,0.0,none,[],neutral,yes
Uses the Sonic mobile app for ordering or deals,mobile app food ordering,0.7,implicit_positive,1205270128311194,1758757066,"23:37, 09/24/2025","[""#SONICApp""]",Facebook: stayed on an image for more than 5 seconds,0.0,none,[],neutral,no
Comfortable with using smartphone apps for everyday purchases,digital commerce,0.65,implicit_positive,1205270128311194,1758757066,"23:37, 09/24/2025","[""#SONICApp""]",Facebook: stayed on an image for more than 5 seconds,0.0,none,[],neutral,no
Likely signed up for push notifications from food brands,brand loyalty programs,0.5,implicit_positive,1205270128311194,1758757066,"23:37, 09/24/2025","[""#SONICApp""]",Facebook: stayed on an image for more than 5 seconds,0.0,none,[],neutral,no
Actively seeks out deals and discounts at fast food chains,fast food deal hunting,0.75,implicit_positive,1205270128311194,1758757066,"23:37, 09/24/2025","[""#FastFoodDeals""]",Facebook: stayed on an image for more than 5 seconds,0.0,none,[],neutral,no
Frequents multiple fast food restaurants beyond just Sonic,fast food consumption,0.6,implicit_positive,1205270128311194,1758757066,"23:37, 09/24/2025","[""#FastFoodDeals""]",Facebook: stayed on an image for more than 5 seconds,0.0,none,[],neutral,no
Follows fast food brand social media accounts for promotional updates,social media brand following,0.65,implicit_positive,1205270128311194,1758757066,"23:37, 09/24/2025","[""#FastFoodDeals""]",Facebook: stayed on an image for more than 5 seconds,0.0,none,[],neutral,yes
Engages with food-related promotional content on social media,food content engagement,0.7,implicit_positive,1205270128311194,1758757066,"23:37, 09/24/2025","[""#FoodiePromos""]",Facebook: stayed on an image for more than 5 seconds,0.0,none,[],neutral,no
Self-identifies as a foodie or food enthusiast,foodie identity,0.6,implicit_positive,1205270128311194,1758757066,"23:37, 09/24/2025","[""#FoodiePromos""]",Facebook: stayed on an image for more than 5 seconds,0.0,none,[],neutral,yes
Enjoys discovering new food promotions and sharing them with friends,food deal sharing,0.55,implicit_positive,1205270128311194,1758757066,"23:37, 09/24/2025","[""#FoodiePromos""]",Facebook: stayed on an image for more than 5 seconds,0.0,none,[],neutral,no
Prefers casual and affordable dining over fine dining,casual dining preference,0.5,implicit_positive,1205270128311194,1758757066,"23:37, 09/24/2025","[""#FoodiePromos"", ""#FastFoodDeals""]",Facebook: stayed on an image for more than 5 seconds,0.0,none,[],neutral,yes
