persona_item,category,confidence_score_init,source_interaction_type,source_object_id,source_timestamp,formatted_timestamp,source_hashtags,interaction_format,confidence_cross_referenced,relationship_type,related_personas,stereotype_mark,overpersonalization
"May prefer independent or non-sponsored content over brand partnerships",branded content,0.08,implicit_negative,1177396204221091,1758672772,"00:12, 09/24/2025","[""#TidePartner""]","Threads: skipped the thread with no interactions",0.0,none,[],neutral,no
"May prefer organic product recommendations from peers rather than influencer promotions",consumer trust,0.07,implicit_negative,1177396204221091,1758672772,"00:12, 09/24/2025","[""#TidePartner""]","Threads: skipped the thread with no interactions",0.0,none,[],neutral,no
"May not be particularly interested in laundry detergent brand loyalty",laundry products,0.10,implicit_negative,1177396204221091,1758672772,"00:12, 09/24/2025","[""#TidePartner""]","Threads: skipped the thread with no interactions",0.0,none,[],neutral,no
"May prefer content that is not overtly commercial or promotional",advertising preferences,0.09,implicit_negative,1177396204221091,1758672772,"00:12, 09/24/2025","[""#TidePartner""]","Threads: skipped the thread with no interactions",0.0,none,[],neutral,no
"May not strongly identify with the sports parent community on social media",sports parenting,0.07,implicit_negative,1177396204221091,1758672772,"00:12, 09/24/2025","[""#sportsmom""]","Threads: skipped the thread with no interactions",0.0,none,[],neutral,no
"May prefer content about individual or non-team sports over organized youth athletics",youth athletics,0.06,implicit_negative,1177396204221091,1758672772,"00:12, 09/24/2025","[""#sportsmom""]","Threads: skipped the thread with no interactions",0.0,none,[],neutral,no
"May not engage with parenting content framed primarily around children's extracurriculars",parenting content,0.08,implicit_negative,1177396204221091,1758672772,"00:12, 09/24/2025","[""#sportsmom""]","Threads: skipped the thread with no interactions",0.0,none,[],neutral,no
"May not be heavily invested in American football culture or fandom",American football,0.10,implicit_negative,1177396204221091,1758672772,"00:12, 09/24/2025","[""#footballmom"", ""#Gameday""]","Threads: skipped the thread with no interactions",0.0,none,[],neutral,no
"May prefer other sports such as cricket or soccer over American football",sports preferences,0.12,implicit_negative,1177396204221091,1758672772,"00:12, 09/24/2025","[""#footballmom"", ""#Gameday""]","Threads: skipped the thread with no interactions",0.0,none,[],stereotypical,no
"May not be drawn to gendered parenting labels like 'football mom'",gendered parenting labels,0.07,implicit_negative,1177396204221091,1758672772,"00:12, 09/24/2025","[""#footballmom""]","Threads: skipped the thread with no interactions",0.0,none,[],neutral,no
"May prefer quieter or less event-driven content over game day hype posts",event culture,0.08,implicit_negative,1177396204221091,1758672772,"00:12, 09/24/2025","[""#Gameday"", ""#GameDayReady""]","Threads: skipped the thread with no interactions",0.0,none,[],neutral,no
"May not find game day preparation content personally relevant",game day culture,0.06,implicit_negative,1177396204221091,1758672772,"00:12, 09/24/2025","[""#Gameday"", ""#GameDayReady""]","Threads: skipped the thread with no interactions",0.0,none,[],neutral,no
"May prefer straightforward laundry routines without special hacks or products",household tips,0.09,implicit_negative,1177396204221091,1758672772,"00:12, 09/24/2025","[""#LaundryHacks""]","Threads: skipped the thread with no interactions",0.0,none,[],neutral,no
"May not actively seek out cleaning or domestic tips on social media",domestic content,0.08,implicit_negative,1177396204221091,1758672772,"00:12, 09/24/2025","[""#LaundryHacks""]","Threads: skipped the thread with no interactions",0.0,none,[],neutral,no
"May prefer generic or store-brand cleaning products over premium branded options",cleaning products,0.07,implicit_negative,1177396204221091,1758672772,"00:12, 09/24/2025","[""#LaundryHacks"", ""#TideOXI""]","Threads: skipped the thread with no interactions",0.0,none,[],neutral,no
"May not be interested in specialty stain removal or advanced laundry chemistry",stain removal,0.10,implicit_negative,1177396204221091,1758672772,"00:12, 09/24/2025","[""#TideOXI"", ""#CleanUniforms""]","Threads: skipped the thread with no interactions",0.0,none,[],neutral,no
"May not prioritize keeping athletic uniforms spotless as a personal concern",athletic gear maintenance,0.08,implicit_negative,1177396204221091,1758672772,"00:12, 09/24/2025","[""#CleanUniforms""]","Threads: skipped the thread with no interactions",0.0,none,[],neutral,no
"May prefer content unrelated to domestic chores or household management",household management,0.09,implicit_negative,1177396204221091,1758672772,"00:12, 09/24/2025","[""#CleanUniforms"", ""#LaundryHacks""]","Threads: skipped the thread with no interactions",0.0,none,[],anti-stereotypical,no
"May not be the primary household member handling laundry and cleaning tasks",household roles,0.06,implicit_negative,1177396204221091,1758672772,"00:12, 09/24/2025","[""#CleanUniforms"", ""#LaundryHacks""]","Threads: skipped the thread with no interactions",0.0,none,[],neutral,no
"May prefer entertainment or technology content over lifestyle and homemaking posts",content preferences,0.11,implicit_negative,1177396204221091,1758672772,"00:12, 09/24/2025","[""#TidePartner"", ""#LaundryHacks"", ""#GameDayReady""]","Threads: skipped the thread with no interactions",0.0,none,[],neutral,no
"May not be part of a household with children in organized sports",family structure,0.06,implicit_negative,1177396204221091,1758672772,"00:12, 09/24/2025","[""#sportsmom"", ""#footballmom"", ""#CleanUniforms""]","Threads: skipped the thread with no interactions",0.0,none,[],neutral,no
