persona_item,category,confidence_score_init,source_interaction_type,source_object_id,source_timestamp,formatted_timestamp,source_hashtags,interaction_format,confidence_cross_referenced,relationship_type,related_personas,stereotype_mark,overpersonalization
Follows the Detroit Lions NFL franchise actively,NFL fandom,0.88,implicit_positive,1093159906355326,1758621862,"10:44, 09/23/2025","[""#DetroitLions""]",Facebook: stayed on a post for more than 5 seconds,0.0,none,[],neutral,no
Has a geographic or emotional connection to the Detroit metropolitan area,regional identity,0.62,implicit_positive,1093159906355326,1758621862,"10:44, 09/23/2025","[""#DetroitLions""]",Facebook: stayed on a post for more than 5 seconds,0.0,none,[],neutral,no
Engages with sports content on social media during the NFL season,sports media consumption,0.75,implicit_positive,1093159906355326,1758621862,"10:44, 09/23/2025","[""#DetroitLions""]",Facebook: stayed on a post for more than 5 seconds,0.0,none,[],neutral,yes
Likely watches Detroit Lions games on Sundays or follows live scores,NFL viewing habits,0.7,implicit_positive,1093159906355326,1758621862,"10:44, 09/23/2025","[""#DetroitLions""]",Facebook: stayed on a post for more than 5 seconds,0.0,none,[],neutral,no
Identifies with the Detroit Lions community slogan and fan culture,NFL fan identity,0.82,implicit_positive,1093159906355326,1758621862,"10:44, 09/23/2025","[""#OnePride""]",Facebook: stayed on a post for more than 5 seconds,0.0,none,[],neutral,no
Values team loyalty and collective fan experiences,sports community,0.65,implicit_positive,1093159906355326,1758621862,"10:44, 09/23/2025","[""#OnePride""]",Facebook: stayed on a post for more than 5 seconds,0.0,none,[],neutral,no
Feels pride in supporting an underdog or historically struggling team,sports loyalty,0.55,implicit_positive,1093159906355326,1758621862,"10:44, 09/23/2025","[""#OnePride""]",Facebook: stayed on a post for more than 5 seconds,0.0,none,[],neutral,no
"Has an interest in retro video games, particularly Sega Genesis era titles",retro gaming,0.78,implicit_positive,1093159906355326,1758621862,"10:44, 09/23/2025","[""#SonicAndKnuckles""]",Facebook: stayed on a post for more than 5 seconds,0.0,none,[],anti-stereotypical,no
Familiar with the Sonic the Hedgehog franchise and its extended cast,Sonic franchise,0.8,implicit_positive,1093159906355326,1758621862,"10:44, 09/23/2025","[""#SonicAndKnuckles""]",Facebook: stayed on a post for more than 5 seconds,0.0,none,[],neutral,no
Enjoys platformer video games as a genre,platformer gaming,0.6,implicit_positive,1093159906355326,1758621862,"10:44, 09/23/2025","[""#SonicAndKnuckles""]",Facebook: stayed on a post for more than 5 seconds,0.0,none,[],neutral,no
Engages with gaming content on social media platforms,gaming media consumption,0.68,implicit_positive,1093159906355326,1758621862,"10:44, 09/23/2025","[""#SonicAndKnuckles""]",Facebook: stayed on a post for more than 5 seconds,0.0,none,[],neutral,no
Is a fan of American football at the professional level,NFL fandom,0.9,implicit_positive,1093159906355326,1758621862,"10:44, 09/23/2025","[""#NFL""]",Facebook: stayed on a post for more than 5 seconds,0.0,none,[],stereotypical,no
"Follows NFL news, scores, or highlights regularly",NFL media consumption,0.72,implicit_positive,1093159906355326,1758621862,"10:44, 09/23/2025","[""#NFL""]",Facebook: stayed on a post for more than 5 seconds,0.0,none,[],neutral,no
Watches NFL games as a social activity with friends or family,sports social activities,0.52,implicit_positive,1093159906355326,1758621862,"10:44, 09/23/2025","[""#NFL""]",Facebook: stayed on a post for more than 5 seconds,0.0,none,[],neutral,no
Enjoys crossover content that blends video gaming and sports cultures,gaming-sports crossover,0.85,implicit_positive,1093159906355326,1758621862,"10:44, 09/23/2025","[""#GamingMeetsFootball""]",Facebook: stayed on a post for more than 5 seconds,0.0,none,[],neutral,yes
May play football video games such as Madden NFL,sports video games,0.58,implicit_positive,1093159906355326,1758621862,"10:44, 09/23/2025","[""#GamingMeetsFootball""]",Facebook: stayed on a post for more than 5 seconds,0.0,none,[],neutral,no
Appreciates creative or meme-style content mixing different fandoms,crossover meme culture,0.63,implicit_positive,1093159906355326,1758621862,"10:44, 09/23/2025","[""#GamingMeetsFootball""]",Facebook: stayed on a post for more than 5 seconds,0.0,none,[],neutral,yes
Identifies as both a gamer and a sports fan simultaneously,dual-interest identity,0.74,implicit_positive,1093159906355326,1758621862,"10:44, 09/23/2025","[""#GamingMeetsFootball""]",Facebook: stayed on a post for more than 5 seconds,0.0,none,[],anti-stereotypical,no
Celebrates victories and positive outcomes in sports enthusiastically,sports celebration,0.77,implicit_positive,1093159906355326,1758621862,"10:44, 09/23/2025","[""#BigWin""]",Facebook: stayed on a post for more than 5 seconds,0.0,none,[],neutral,no
Enjoys sharing hype and excitement on social media after a team win,social media sports engagement,0.71,implicit_positive,1093159906355326,1758621862,"10:44, 09/23/2025","[""#BigWin""]",Facebook: stayed on a post for more than 5 seconds,0.0,none,[],neutral,no
Values competition and achievement in entertainment contexts,competitive mindset,0.54,implicit_positive,1093159906355326,1758621862,"10:44, 09/23/2025","[""#BigWin""]",Facebook: stayed on a post for more than 5 seconds,0.0,none,[],neutral,yes
