persona_item,category,confidence_score_init,source_interaction_type,source_object_id,source_timestamp,formatted_timestamp,source_hashtags,interaction_format,confidence_cross_referenced,relationship_type,related_personas,stereotype_mark,overpersonalization
"Interested in romantic relationship content and couples' dynamics",romantic relationships,0.65,implicit_positive,747278854939525,1758116387,"13:39, 09/17/2025","[""#relationshipgoals""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
Values long-term committed partnerships,relationship values,0.55,implicit_positive,747278854939525,1758116387,"13:39, 09/17/2025","[""#relationshipgoals""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
Enjoys aspirational relationship content on social media,social media consumption,0.70,implicit_positive,747278854939525,1758116387,"13:39, 09/17/2025","[""#relationshipgoals""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
Drawn to idealized portrayals of love and partnership,romantic idealism,0.50,implicit_positive,747278854939525,1758116387,"13:39, 09/17/2025","[""#relationshipgoals""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,yes
Has likely experienced a recent or memorable breakup,breakup experience,0.60,implicit_positive,747278854939525,1758116387,"13:39, 09/17/2025","[""#heartbreak""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
Processes emotional pain through consuming relatable content,emotional coping,0.55,implicit_positive,747278854939525,1758116387,"13:39, 09/17/2025","[""#heartbreak""]",Facebook: viewed more than 75% of the video,0.0,none,[],anti-stereotypical,no
Finds comfort in shared experiences of romantic loss,emotional support seeking,0.50,implicit_positive,747278854939525,1758116387,"13:39, 09/17/2025","[""#heartbreak""]",Facebook: viewed more than 75% of the video,0.0,none,[],anti-stereotypical,no
Has unresolved feelings or ongoing issues with a past romantic partner,ex-partner dynamics,0.65,implicit_positive,747278854939525,1758116387,"13:39, 09/17/2025","[""#exproblems""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
Relates to the frustrations of post-breakup complications,post-breakup struggles,0.60,implicit_positive,747278854939525,1758116387,"13:39, 09/17/2025","[""#exproblems""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
Enjoys venting or humor about difficult ex-partner situations,relationship humor,0.55,implicit_positive,747278854939525,1758116387,"13:39, 09/17/2025","[""#exproblems""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,yes
Has a strong sense of humor and seeks comedic content,comedy consumption,0.70,implicit_positive,747278854939525,1758116387,"13:39, 09/17/2025","[""#funny""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
Prefers lighthearted and entertaining social media content over serious or educational posts,content tone preference,0.60,implicit_positive,747278854939525,1758116387,"13:39, 09/17/2025","[""#funny""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
Uses humor as a coping mechanism for life challenges,humor as coping,0.50,implicit_positive,747278854939525,1758116387,"13:39, 09/17/2025","[""#funny""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
Regularly consumes gossip or drama-related content,gossip and drama,0.65,implicit_positive,747278854939525,1758116387,"13:39, 09/17/2025","[""#dailydoseofteat""]",Facebook: viewed more than 75% of the video,0.0,none,[],anti-stereotypical,no
Enjoys staying updated on interpersonal conflicts and social drama,social drama interest,0.60,implicit_positive,747278854939525,1758116387,"13:39, 09/17/2025","[""#dailydoseofteat""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,yes
Follows content creators who specialize in storytelling or tea-spilling,content creator fandom,0.55,implicit_positive,747278854939525,1758116387,"13:39, 09/17/2025","[""#dailydoseofteat""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
Finds entertainment in other people's relationship dramas,voyeuristic entertainment,0.50,implicit_positive,747278854939525,1758116387,"13:39, 09/17/2025","[""#dailydoseofteat""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
Follows the specific content creator Moeyy or similar storytellers,specific creator fandom,0.60,implicit_positive,747278854939525,1758116387,"13:39, 09/17/2025","[""#moeyystorys""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
Enjoys narrative-driven social media content,narrative content,0.55,implicit_positive,747278854939525,1758116387,"13:39, 09/17/2025","[""#moeyystorys""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,yes
Prefers video-format storytelling over static posts,video content preference,0.65,implicit_positive,747278854939525,1758116387,"13:39, 09/17/2025","[""#moeyystorys""]",Facebook: viewed more than 75% of the video,0.0,none,[],neutral,no
